CAMPO;DESCRIPCION;LONGITUD;FORMATO;TIPO;TABLA
67;FECHA DE FIN DEL SUBSIDIO;8;N;Fecha;
68;FECHA AGOTAMIENTO DE PLAZO PARA LAS PROPUESTAS DE ALTA EN INSS;8;N;Fecha;
69;TIPO DE RESOLUCIÓN (A/D);1;A;Combo;Tipos_resolucion.txt
70;TPO DE IP (solo aprobatorias);2;A;Combo;Tipos_IP.txt
71;FECHA RESOLUCIÓN DE LA IP;8;N;Fecha;
72;FECHA HECHO CAUSANTE;8;N;Fecha;
73;FECHA EFECTOS ECONOMICOS (solo aprobatorias);8;N;Fecha;
74;INDICADOR CONTINUAR EN IT;1;A;Check;
75;ORIGEN (a instancia de);1;A;Combo;Instancias.txt
76;FECHA EN QUE EL TRABAJADOR ESTA DE ALTA EN EL FGA;8;N;Fecha;
77;CODIGO DIAGNOSTICO CIE9 EVI IP (ALFA);8;A;Texto;
78;CONTINGENCIA DE LA IP;2;A;Combo;Contingencias.txt
79;FECHA PROXIMA REVISION IP;8;N;Fecha;
80;TIPO DE JUBILACION;1;A;Combo;tipos_jubilacion.txt
81;TRAMITE DE AUDIENCIA A MUTUAS EN DEMORA;2;A;Check;
82;MUTUA RESPONSABLE PRESTACION Y/O ASISTENCIA SANITARIA;5;A;Combo;Codigos_mutuas_inss.txt
83;FECHA DE FALLECIMIENTO;8;N;Fecha;
84;FECHA DEL DIA ANTERIOR A LA INCORPORACION AL TRABAJO ANTES DE EXISTIR EL ALTA MEDICA;8;N;Fecha;
85;FECHA DE SOLICITUD DE DC;8;N;Fecha;
86;ORIGEN DE LA SOLICITUD DE DC;1;A;Combo;Origen_solicitud_dc.txt
87;NOMBRE DE LA MUTUA/EMPRESA COLABORADORA POR CP QUE INSTA LA SOLICITUD DE DC;58;A;Texto;
88;CONTINGENCIA QUE SE SOLICITA;1;A;Combo;Contingencias.txt
89;FECHA DEL AT ACTUAL;8;N;Fecha;
90;IND-ACCIDENTE IN ITINERE;1;A;Check;
91;IND-TELETRABAJO;1;A;Check;
92;CNO DEL TRABAJADOR;4;A;Texto;
93;ENTIDAD RESPONSABLE ECONOMICA;5;A;Combo;Codigos_mutuas_inss.txt
94;ENTIDAD RESPONSABLE SANITARIA;5;A;Combo;Codigos_mutuas_inss.txt
95;FECHA DE BAJA 1 PROCESO RELACIONADO;8;N;Fecha;
96;FECHA DE BAJA 2 PROCESO RELACIONADO;8;N;Fecha;
97;FECHA DE BAJA 3 PROCESO RELACIONADO;8;N;Fecha;
98;FECHA DE BAJA 4 PROCESO RELACIONADO;8;N;Fecha;
99;FECHA DE BAJA 5 PROCESO RELACIONADO;8;N;Fecha;
100;FECHA DE BAJA 6 PROCESO RELACIONADO;8;N;Fecha;
101;FECHA DE BAJA 7 PROCESO RELACIONADO;8;N;Fecha;
102;FECHA DE BAJA 8 PROCESO RELACIONADO;8;N;Fecha;
103;FECHA DE BAJA 9 PROCESO RELACIONADO;8;N;Fecha;
104;FECHA DE BAJA 10 PROCESO RELACIONADO;8;N;Fecha;
105;ENTIDAD RESPONSABLE ECONOMICA PLURIEMPLEO 2;5;A;Combo;Codigos_mutuas_inss.txt
106;ENTIDAD RESPONSABLE ECONOMICA PLURIEMPLEO 3;5;A;Combo;Codigos_mutuas_inss.txt
107;ENTIDAD RESPONSABLE ECONOMICA PLURIEMPLEO 4;5;A;Combo;Codigos_mutuas_inss.txt
108;ENTIDAD RESPONSABLE ECONOMICA PLURIEMPLEO 5;5;A;Combo;Codigos_mutuas_inss.txt
109;ENTIDAD RESPONSABLE ECONOMICA PLURIEMPLEO 6;5;A;Combo;Codigos_mutuas_inss.txt
110;ALEGACIONES DEL INSTANCIADOR;600;A;Texto;
111;ENTIDAD RESPONSABLE SANITARIA PLURIEMPLEO 2;5;A;Combo;Codigos_mutuas_inss.txt
112;ENTIDAD RESPONSABLE SANITARIA PLURIEMPLEO 3;5;A;Combo;Codigos_mutuas_inss.txt
113;ENTIDAD RESPONSABLE SANITARIA PLURIEMPLEO 4;5;A;Combo;Codigos_mutuas_inss.txt
114;ENTIDAD RESPONSABLE SANITARIA PLURIEMPLEO 5;5;A;Combo;Codigos_mutuas_inss.txt
115;ENTIDAD RESPONSABLE SANITARIA PLURIEMPLEO 6;5;A;Combo;Codigos_mutuas_inss.txt
116;FECHA DE BAJA RECIDIVA;8;N;Fecha;
117;CONTINGENCIA DETERMINADA EN LA RESOLUCIÓN DE DC;1;A;Combo;Contingencias.txt
118;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 1;40;A;Texto;
119;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 2;40;A;Texto;
120;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 3;40;A;Texto;
121;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 4;40;A;Texto;
122;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 5;40;A;Texto;
123;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 6;40;A;Texto;
124;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 7;40;A;Texto;
125;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 8;40;A;Texto;
126;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 9;40;A;Texto;
127;DESCRIPCIÓN DE DOCUMENTO REQUERIDO 10;40;A;Texto;
128;ACLARACIONES DEL REQUERIMIENTO;600;A;Texto;
129;INDICADOR DE LESIONES PERMANENTES NO INVALIDANTES TRAS ALTA POR CURACIÓN;2;A;Check;
130;IDENFICADOR DE LA PRUEBA;30;A;Texto;
131;ACEPTACIÓN/DENEGACIÓN DE LA SOLICITUD DE PRUEBA;1;A;Combo;Resultado_pruebas.txt
132;MOTIVO DE LA DENEGACIÓN DE LA PRUEBA;1;A;Combo;Motivos_denegacion_pruebas.txt
133;FECHA DE REALIZACION DE LA PRUEBA;8;N;Fecha;
134;HORA DE REALIZACION DE LA PRUEBA;4;N;Texto;
135;JUSTIFICACION DENEGACIÓN O CANCELACIÓN DE LA PRUEBA;50;A;Texto;
136;FILLER;433;A;Filler;
